add-none,1,10,20,130498,6524,0
add-yield-none,1,10,20,137789,6889,0
add-none,1,20,40,132624,3315,0
add-yield-none,1,20,40,106017,2650,0
add-none,1,40,80,95603,1195,0
add-yield-none,1,40,80,139470,1743,0
add-none,1,80,160,125185,782,0
add-yield-none,1,80,160,159662,997,0
add-none,1,100,200,124532,622,0
add-yield-none,1,100,200,142205,711,0
add-none,1,1000,2000,138409,69,0
add-yield-none,1,1000,2000,592480,296,0
add-none,1,10000,20000,263226,13,0
add-yield-none,1,10000,20000,4658232,232,0
add-none,1,100000,200000,1686201,8,0
add-yield-none,1,100000,200000,45578799,227,0
add-none,2,10,40,192498,4812,0
add-yield-none,2,10,40,132258,3306,0
add-none,2,20,80,123001,1537,0
add-yield-none,2,20,80,134131,1676,0
add-none,2,40,160,124563,778,0
add-yield-none,2,40,160,189733,1185,0
add-none,2,80,320,213218,666,30
add-yield-none,2,80,320,152662,477,48
add-none,2,100,400,201190,502,0
add-yield-none,2,100,400,216534,541,62
add-none,2,1000,4000,168171,42,0
add-yield-none,2,1000,4000,765094,191,-19
add-none,2,10000,40000,590620,14,-5847
add-yield-none,2,10000,40000,6495233,162,-91
add-none,2,100000,400000,4393766,10,-14213
add-yield-none,2,100000,400000,63262983,158,-1402
add-none,4,10,80,234325,2929,-10
add-yield-none,4,10,80,229980,2874,0
add-none,4,20,160,210334,1314,0
add-yield-none,4,20,160,217706,1360,0
add-none,4,40,320,214952,671,0
add-yield-none,4,40,320,228545,714,12
add-none,4,80,640,225280,352,0
add-yield-none,4,80,640,250472,391,0
add-none,4,100,800,198389,247,92
add-yield-none,4,100,800,233986,292,33
add-none,4,1000,8000,160335,20,696
add-yield-none,4,1000,8000,883938,110,413
add-none,4,10000,80000,1042568,13,776
add-yield-none,4,10000,80000,6905801,86,243
add-none,4,100000,800000,9069491,11,-39187
add-yield-none,4,100000,800000,66564827,83,-4508
add-none,8,10,160,279396,1746,0
add-yield-none,8,10,160,256369,1602,3
add-none,8,20,320,280433,876,0
add-yield-none,8,20,320,259160,809,34
add-none,8,40,640,284217,444,0
add-yield-none,8,40,640,291458,455,64
add-none,8,80,1280,263875,206,0
add-yield-none,8,80,1280,331767,259,272
add-none,8,100,1600,266495,166,0
add-yield-none,8,100,1600,315212,197,124
add-none,8,1000,16000,331135,20,125
add-yield-none,8,1000,16000,1182587,73,140
add-none,8,10000,160000,2265984,14,223
add-yield-none,8,10000,160000,9374269,58,1181
add-none,8,100000,1600000,20331358,12,-39524
add-yield-none,8,100000,1600000,99984310,62,-4085
add-none,12,10,240,378396,1576,0
add-yield-none,12,10,240,344611,1435,0
add-none,12,20,480,367447,765,0
add-yield-none,12,20,480,322755,672,25
add-none,12,40,960,359606,374,0
add-yield-none,12,40,960,343651,357,145
add-none,12,80,1920,326080,169,0
add-yield-none,12,80,1920,365932,190,254
add-none,12,100,2400,348117,145,0
add-yield-none,12,100,2400,392204,163,220
add-none,12,1000,24000,388901,16,235
add-yield-none,12,1000,24000,1601343,66,578
add-none,12,10000,240000,3604539,15,447
add-yield-none,12,10000,240000,14265283,59,-4746
add-none,12,100000,2400000,29243213,12,-48841
add-yield-none,12,100000,2400000,138685465,57,-1153
add-m,1,10000,20000,788114,39,0
add-yield-m,1,10000,20000,5101513,255,0
add-c,1,10000,20000,539948,26,0
add-yield-c,1,10000,20000,546690,27,0
add-s,1,10000,20000,355340,17,0
add-yield-s,1,10000,20000,4791057,239,0
add-m,2,10000,40000,3546072,88,0
add-yield-m,2,10000,40000,17268815,431,0
add-c,2,10000,40000,1978389,49,0
add-yield-c,2,10000,40000,1857183,46,0
add-s,2,10000,40000,1508539,37,0
add-yield-s,2,10000,40000,14402253,360,0
add-m,4,10000,80000,15452715,193,0
add-yield-m,4,10000,80000,61386588,767,0
add-c,4,10000,80000,7997512,99,0
add-yield-c,4,10000,80000,3697803,46,0
add-s,4,10000,80000,28594941,357,0
add-yield-s,4,10000,80000,52449413,655,0
add-m,8,10000,160000,35272505,220,0
add-yield-m,8,10000,160000,163504476,1021,0
add-c,8,10000,160000,14243476,89,0
add-yield-c,8,10000,160000,26820333,167,0
add-s,8,10000,160000,102512568,640,0
add-yield-s,8,10000,160000,135749536,848,0
add-m,12,10000,240000,53439188,222,0
add-yield-m,12,10000,240000,252971327,1054,0
add-c,12,10000,240000,20223213,84,0
add-yield-c,12,10000,240000,56626835,235,0
add-s,12,10000,240000,213293389,888,0
add-yield-s,12,10000,240000,288061779,1200,0
